image_id,gt_len,pred_text_len,pred_len_from_head,is_correct
136,11,11,11,1
137,12,12,12,1
138,5,5,5,1
139,12,12,11,1
140,14,14,14,1
141,15,15,14,1
142,14,14,14,1
143,19,19,19,1
144,11,11,11,1
145,11,11,11,1
146,11,11,11,1
147,17,17,17,1
148,13,13,13,1
149,16,16,16,1
150,12,12,12,1
151,17,17,13,1
152,16,16,16,1
153,16,16,16,1
154,16,16,16,1
155,16,16,16,1
156,12,12,12,1
157,10,10,10,1
158,14,14,14,1
159,13,13,13,1
160,13,13,13,1
161,14,14,12,1
162,13,13,13,1
163,14,14,14,1
164,14,14,14,1
165,18,18,18,1
166,16,16,16,1
167,9,9,11,1
168,14,14,14,1
169,10,10,10,1
170,14,14,14,1
171,17,17,17,1
172,20,20,20,1
173,16,16,16,1
174,18,18,18,1
175,18,18,18,1
176,20,20,20,1
177,10,10,10,1
178,13,13,13,1
179,17,17,17,1
180,12,12,12,1
181,12,12,12,1
182,10,10,10,1
183,18,18,17,1
184,21,21,21,1
185,11,11,11,1
186,18,18,18,1
187,18,18,18,1
188,12,12,12,1
189,21,21,21,1
190,12,12,12,1
191,21,21,21,1
192,21,21,21,1
193,21,21,21,1
194,21,21,21,1
195,21,21,21,1
196,21,21,21,1
197,22,22,22,1
198,12,12,12,1
199,22,22,22,1
200,20,20,20,1
201,22,22,22,1
202,22,22,22,1
203,18,18,18,1
204,8,8,8,1
205,21,21,21,1
206,21,21,21,1
207,21,21,21,1
208,21,21,21,1
209,21,21,21,1
210,21,21,21,1
211,21,21,21,1
212,21,21,21,1
213,21,21,21,1
214,21,21,21,1
215,21,21,21,1
216,12,12,12,1
217,21,21,21,1
218,17,17,17,1
219,21,21,21,1
220,24,24,24,1
221,21,21,21,1
222,21,21,21,1
223,20,20,20,1
224,11,11,11,1
225,22,22,22,1
226,17,17,17,1
227,17,17,17,1
228,20,20,20,1
229,9,9,9,1
230,9,9,9,1
231,9,9,9,1
232,23,23,23,1
233,12,12,12,1
234,12,12,12,1
235,20,20,20,1
236,21,21,21,1
237,19,19,19,1
238,8,8,8,1
239,8,8,8,1
240,8,8,8,1
241,8,8,8,1
242,19,19,19,1
243,19,19,19,1
244,8,8,8,1
245,19,19,19,1
246,19,19,19,1
247,19,19,19,1
248,8,8,8,1
249,8,8,8,1
250,19,19,19,1
251,19,19,19,1
252,8,8,8,1
253,8,8,8,1
254,8,8,8,1
255,8,8,8,1
256,19,19,19,1
257,22,22,22,1
258,24,24,24,1
259,12,12,12,1
260,24,24,24,1
261,24,24,24,1
262,24,24,24,1
263,24,24,24,1
264,24,24,24,1
265,24,24,24,1
266,11,11,11,1
267,12,12,12,1
268,15,15,17,1
269,10,10,5,1
270,28,28,28,1
271,10,10,10,1
272,10,10,10,1
273,11,11,13,1
274,11,11,13,1
275,11,11,11,1
276,11,11,11,1
277,9,9,9,1
278,18,18,18,1
279,21,21,21,1
280,11,11,11,1
281,20,20,20,1
282,20,20,20,1
283,20,20,20,1
284,18,18,18,1
285,18,18,18,1
286,10,10,10,1
287,19,19,19,1
288,15,15,15,1
289,22,22,22,1
290,11,11,11,1
291,16,16,16,1
292,15,15,15,1
293,16,16,16,1
294,15,15,15,1
295,15,15,15,1
296,15,15,15,1
297,15,15,15,1
298,17,17,17,1
299,8,8,8,1
300,11,11,11,1
301,11,11,11,1
302,8,8,8,1
303,17,17,17,1
304,15,15,15,1
305,15,15,15,1
306,16,16,16,1
307,16,16,16,1
308,17,17,17,1
309,19,19,19,1
310,19,19,19,1
311,19,19,19,1
312,16,16,16,1
313,12,12,12,1
314,21,21,21,1
315,11,11,11,1
316,21,21,21,1
317,15,15,15,1
318,17,17,17,1
319,17,17,17,1
320,22,22,22,1
321,18,18,18,1
322,20,20,20,1
323,20,20,20,1
324,16,16,16,1
325,15,15,15,1
326,22,22,22,1
327,19,19,19,1
328,11,11,11,1
329,16,16,17,1
330,17,17,17,1
331,18,18,18,1
332,18,18,18,1
333,15,15,15,1
334,12,12,12,1
335,13,13,13,1
336,14,14,14,1
337,13,13,13,1
338,15,15,15,1
339,15,15,15,1
340,16,16,16,1
341,16,16,16,1
342,12,12,12,1
343,12,12,12,1
344,10,10,10,1
345,13,13,13,1
346,12,12,12,1
347,12,12,12,1
348,7,7,7,1
349,12,12,12,1
350,20,20,21,1
351,21,21,21,1
352,20,20,20,1
353,17,17,17,1
354,19,19,19,1
355,20,20,29,1
356,19,19,19,0
357,11,11,11,1
358,18,18,18,1
359,22,22,22,1
360,21,21,21,1
361,23,23,23,1
362,23,23,23,1
363,23,23,23,1
364,23,23,23,1
365,23,23,23,1
366,23,23,23,1
367,23,23,23,1
368,16,16,16,1
369,16,16,16,1
370,16,16,16,1
371,11,11,11,1
372,16,16,16,1
373,20,20,19,1
374,20,20,20,1
375,20,20,20,1
376,21,21,21,1
377,19,19,19,1
378,15,15,15,1
379,11,11,11,1
380,19,19,19,1
381,10,10,10,1
382,13,13,13,1
383,14,14,14,1
384,16,16,16,1
385,16,16,16,1
386,16,16,16,1
387,16,16,16,1
388,16,16,16,1
389,13,13,13,1
390,13,13,13,1
391,13,13,13,1
392,13,13,13,1
393,13,13,13,1
394,17,17,18,1
395,17,17,17,1
396,16,16,16,1
397,16,16,16,1
398,16,16,16,1
399,20,20,20,1
400,11,11,11,1
401,22,22,22,1
402,7,7,7,1
403,19,19,19,1
404,19,19,19,1
405,15,15,18,1
406,18,18,18,1
407,17,17,17,1
408,17,17,17,1
409,17,17,17,1
410,20,20,20,1
411,20,20,20,1
412,17,17,17,1
413,15,15,15,1
414,14,14,14,1
415,13,13,13,1
416,17,17,17,1
417,18,18,18,1
418,10,10,9,1
419,24,24,24,1
420,7,7,8,1
421,9,9,9,1
422,13,13,13,1
423,14,14,15,1
424,11,11,11,1
425,11,11,11,1
426,11,11,11,1
427,5,5,4,1
428,7,7,7,1
429,11,11,11,1
430,11,11,11,1
431,12,12,13,1
432,12,12,12,1
433,14,14,14,1
434,9,9,10,1
435,11,11,11,1
436,12,12,12,1
437,15,15,15,1
438,9,9,9,1
439,24,24,24,1
440,11,11,11,1
441,10,10,10,1
442,18,18,18,1
443,19,19,19,1
444,19,19,19,1
445,19,19,19,1
446,17,17,17,1
447,12,12,12,1
448,13,16,15,0
449,5,5,5,1
450,18,18,18,1
451,14,14,14,1
452,11,11,11,1
453,9,9,9,1
454,7,7,12,1
455,7,7,7,1
456,6,6,6,1
457,4,3,5,0
458,6,6,6,1
459,6,6,6,1
460,7,7,8,1
461,6,6,6,1
462,5,5,6,1
463,12,12,12,1
464,12,12,12,1
465,8,8,8,1
466,8,8,8,1
467,8,8,8,1
468,8,8,8,1
469,21,21,21,1
470,8,8,8,1
471,8,8,8,1
472,8,8,8,1
473,8,8,8,1
474,8,8,8,1
475,8,8,8,1
476,8,8,8,1
477,8,8,8,1
478,8,8,8,1
479,8,8,8,1
480,8,8,8,1
481,8,8,8,1
482,8,8,8,1
483,8,8,8,1
484,8,8,8,1
485,8,8,8,1
486,8,8,8,1
487,21,21,21,1
488,7,7,7,1
489,9,9,9,0
490,9,9,9,1
491,22,22,22,0
492,8,8,8,1
493,8,8,8,1
494,21,21,21,1
495,21,21,21,1
496,9,9,9,1
497,9,9,9,1
498,9,9,9,1
499,9,9,9,1
500,9,9,9,1
501,8,8,8,1
502,8,8,8,1
503,8,8,8,1
504,8,8,8,1
505,8,8,8,1
506,9,9,9,1
507,9,9,9,1
508,22,22,20,1
509,22,22,20,1
510,22,22,22,0
511,8,8,8,1
512,8,8,8,1
513,8,8,8,1
514,8,8,8,1
515,8,8,8,1
516,8,8,8,1
517,8,8,8,0
518,8,8,8,1
519,8,8,8,1
520,8,8,8,1
521,8,8,8,1
522,8,8,8,1
523,8,8,8,1
524,8,8,8,1
525,8,8,8,1
526,7,7,7,1
527,7,7,7,1
528,7,7,7,1
529,7,7,7,1
530,8,8,9,0
531,9,9,9,1
532,9,9,9,1
533,9,9,9,1
534,9,9,9,1
535,9,9,9,1
536,9,9,9,1
537,9,9,9,1
538,9,9,9,1
539,9,9,9,1
540,9,9,9,0
541,9,9,9,1
542,9,9,9,1
543,9,9,9,1
544,9,9,9,1
545,9,9,9,1
546,9,9,9,1
547,9,9,9,1
548,9,9,9,1
549,9,9,9,1
550,9,9,9,0
551,9,9,9,0
552,9,9,9,1
553,9,9,9,1
554,9,9,9,1
555,9,9,9,1
556,9,9,9,0
557,9,9,9,1
558,9,9,9,1
559,9,9,9,1
560,9,9,9,1
561,9,9,8,1
562,9,9,9,1
563,9,9,9,1
564,9,9,9,1
565,9,9,9,1
566,9,9,9,1
567,9,9,9,1
568,9,9,9,0
569,8,8,8,1
570,8,8,8,1
571,8,8,8,1
572,8,8,8,1
573,19,19,19,1
574,8,8,8,1
575,8,8,8,1
576,8,8,8,1
577,8,8,8,1
578,8,8,8,1
579,8,8,8,1
580,8,8,8,1
581,8,8,8,1
582,8,8,8,1
583,8,8,8,1
584,8,8,8,1
585,8,8,8,1
586,8,8,8,1
587,8,8,8,1
588,8,8,8,1
589,8,8,8,1
590,8,8,8,1
591,8,8,8,1
592,8,8,8,1
593,8,8,8,1
594,8,8,8,1
595,8,8,8,1
596,8,8,8,1
597,8,8,8,1
598,8,8,8,1
599,8,8,8,1
600,8,8,8,1
601,8,7,8,0
602,8,8,8,1
603,8,8,8,1
604,8,8,8,1
605,8,8,8,1
606,24,24,24,1
607,9,9,9,1
608,9,9,9,1
609,9,9,9,1
610,9,9,9,1
611,9,9,9,1
612,9,9,9,1
613,9,9,9,1
614,8,23,8,0
615,8,8,8,1
616,8,8,8,1
617,13,13,14,0
618,7,7,7,1
619,8,8,8,1
620,6,6,6,1
621,16,16,16,1
622,8,8,8,1
623,8,8,8,1
624,10,11,12,0
625,10,10,10,1
626,8,8,8,0
627,8,8,8,1
628,8,8,8,1
629,8,8,9,0
630,7,7,7,1
631,16,16,18,1
632,6,9,7,0
633,8,8,11,0
634,6,6,6,1
635,6,6,6,1
636,6,6,6,1
637,9,9,9,1
638,8,8,8,1
639,9,9,9,1
640,8,8,8,1
641,8,8,8,0
642,12,12,12,1
643,8,8,8,1
644,8,8,8,1
645,8,8,8,1
646,8,8,8,1
647,5,5,4,1
648,5,5,5,1
649,10,10,10,1
650,10,10,10,1
651,10,10,10,1
652,8,8,8,1
653,7,7,7,1
654,7,7,7,1
655,11,11,11,1
656,5,5,5,1
657,3,3,3,1
658,4,4,4,1
659,6,6,6,1
660,6,6,7,1
661,6,6,7,1
662,6,6,6,1
663,7,7,7,1
664,14,14,14,1
665,15,15,15,1
666,6,6,6,1
667,6,6,6,1
668,12,12,12,1
669,14,14,14,1
670,15,15,15,1
671,6,6,6,1
672,6,6,6,1
673,11,11,13,1
674,10,10,10,1
675,13,13,13,1
676,15,15,15,1
677,15,15,15,1
678,15,15,15,1
679,6,6,6,1
680,8,13,8,0
681,8,8,8,1
682,3,3,3,1
683,6,6,6,1
684,6,6,6,1
685,6,6,6,1
686,6,6,6,1
687,12,12,12,1
688,6,6,6,1
689,12,12,12,1
690,10,10,10,1
691,7,7,7,1
692,6,6,6,1
693,14,14,14,1
694,6,6,6,1
695,6,6,6,1
696,7,7,7,1
697,3,3,3,1
698,15,15,15,1
699,15,15,15,1
700,15,15,15,1
701,2,2,2,1
702,6,6,6,1
703,6,6,6,1
704,12,12,12,1
705,7,7,7,1
706,5,5,5,1
707,14,14,14,1
708,2,2,2,1
709,2,2,2,1
710,9,9,9,1
711,14,14,14,1
712,14,14,14,1
713,5,5,5,1
714,8,8,8,1
715,3,3,3,1
716,8,8,8,1
717,8,8,8,1
718,8,8,8,1
719,8,8,8,1
720,8,8,8,1
721,8,8,8,1
722,8,8,8,1
723,21,21,21,1
724,8,8,8,1
725,21,21,21,1
726,21,21,21,1
727,21,21,21,1
728,8,8,8,1
729,21,21,21,1
730,21,21,21,1
731,21,21,21,1
732,21,21,21,1
733,21,21,21,1
734,21,21,21,1
735,21,21,21,1
736,21,21,21,1
737,21,21,21,1
738,21,21,21,1
739,21,21,21,1
740,8,8,8,1
741,9,9,9,1
742,8,8,8,1
743,8,8,8,1
744,8,8,8,1
745,21,21,21,1
746,21,21,21,1
747,21,21,21,1
748,9,9,9,1
749,21,21,21,1
750,6,6,6,1
751,9,8,8,0
752,9,9,9,1
753,9,9,9,1
754,21,21,21,0
755,9,9,9,1
756,20,20,20,1
757,20,20,20,1
758,20,20,20,1
759,9,9,9,1
760,9,9,9,1
761,9,9,9,1
762,9,9,9,1
763,9,9,9,1
764,9,9,9,1
765,9,9,9,1
766,9,9,9,1
767,9,9,9,1
768,8,8,8,1
769,22,22,22,1
770,8,8,8,1
771,22,22,22,1
772,22,22,22,1
773,17,17,17,1
774,17,17,17,1
775,23,23,23,1
776,9,9,9,1
777,9,9,9,1
778,9,9,9,1
779,9,9,9,1
780,23,23,23,1
781,23,23,23,1
782,23,23,23,1
783,9,9,9,1
784,23,23,23,1
785,23,23,23,1
786,23,23,23,1
787,23,23,22,1
788,23,23,23,1
789,9,9,9,1
790,20,20,20,1
791,18,7,18,0
792,19,19,19,1
793,19,19,19,1
794,8,8,8,1
795,8,8,8,1
796,8,8,8,1
797,8,8,8,1
798,19,19,19,1
799,19,19,19,1
800,19,19,19,1
801,19,19,19,1
802,19,8,19,0
803,19,19,19,1
804,19,19,19,1
805,19,19,19,1
806,19,19,19,1
807,19,19,19,1
808,19,19,19,1
809,19,19,19,1
810,19,19,19,1
811,19,19,19,1
812,8,8,8,1
813,19,19,19,1
814,19,19,19,1
815,19,19,19,1
816,19,19,19,1
817,8,8,8,1
818,8,8,8,1
819,8,8,8,1
820,19,19,19,1
821,19,19,19,1
822,19,19,19,1
823,8,8,8,1
824,8,8,8,1
825,19,19,19,1
826,19,19,19,1
827,8,8,8,1
828,17,17,17,1
829,17,17,17,1
830,22,22,22,1
831,22,22,22,1
832,8,8,8,1
833,22,22,22,1
834,8,8,8,1
835,8,8,8,1
836,8,8,8,1
837,9,9,9,1
838,9,9,9,1
839,9,9,9,1
840,9,9,9,1
841,9,9,9,1
842,8,8,8,1
843,8,8,8,1
844,5,6,6,0
845,2,2,2,1
846,14,14,14,1
847,14,14,14,1
848,3,3,3,1
849,9,9,9,1
850,9,9,9,1
851,8,8,8,1
852,8,8,8,1
853,6,6,6,1
854,6,6,6,1
855,15,15,15,1
856,6,6,6,0
857,17,17,17,1
858,6,6,6,1
859,7,7,7,1
860,7,7,6,1
861,7,7,7,1
862,7,7,7,1
863,15,15,15,1
864,7,7,7,1
865,16,17,17,0
866,18,18,18,1
867,8,8,8,1
868,8,8,8,1
869,19,19,19,1
870,8,8,8,1
871,8,8,8,1
872,16,16,16,1
873,7,7,7,1
874,7,7,7,1
875,8,8,8,1
876,8,8,8,1
877,6,6,6,1
878,6,6,6,1
879,5,5,5,1
880,6,6,6,1
881,6,6,6,1
882,6,6,6,1
883,6,6,6,1
884,8,8,8,1
885,8,8,8,1
886,6,6,6,1
887,8,8,8,1
888,8,8,8,1
889,16,16,16,1
890,7,7,7,1
891,6,6,6,1
892,6,6,6,1
893,19,19,19,1
894,8,8,8,1
895,8,8,8,1
896,6,6,6,1
897,3,3,3,1
898,18,18,18,1
899,3,3,3,1
900,6,6,6,1
901,6,6,6,1
902,6,6,6,1
903,6,6,6,1
904,5,5,5,1
905,18,18,18,1
906,8,8,8,1
907,8,8,8,1
908,4,4,4,1
909,6,6,6,1
910,8,8,8,1
911,18,18,18,1
912,18,18,18,1
913,8,8,8,1
914,22,22,19,1
915,6,6,6,1
916,8,8,8,1
917,17,17,17,1
918,23,23,23,1
919,10,10,10,1
920,8,8,8,1
921,20,20,19,1
922,25,25,25,1
923,9,9,9,1
924,8,8,8,1
925,16,16,16,1
926,16,16,16,1
927,5,5,5,1
928,13,13,13,1
929,7,7,8,1
930,8,8,8,1
931,8,8,8,1
932,16,16,16,1
933,8,8,8,1
934,7,7,7,1
935,7,7,7,1
936,19,19,19,1
937,7,7,7,1
938,20,20,24,1
939,6,6,6,1
940,8,8,8,1
941,8,7,8,0
942,4,4,4,1
943,6,6,6,1
944,14,14,14,1
945,13,13,13,1
946,8,8,8,1
947,8,8,8,1
948,15,15,15,1
949,13,13,13,1
950,5,5,5,1
951,19,19,19,1
952,11,11,11,1
953,11,11,11,1
954,5,5,6,1
955,11,11,11,1
956,6,6,6,1
957,6,6,6,1
958,5,5,5,1
959,7,7,7,1
960,7,7,7,1
961,7,7,7,1
962,17,17,17,1
963,4,4,4,1
964,8,7,7,0
965,8,8,8,1
966,3,3,3,1
967,5,5,5,1
968,6,6,6,1
969,15,15,15,1
970,16,16,16,1
971,16,16,16,1
972,6,6,6,1
973,16,16,16,1
974,16,16,16,1
975,8,8,8,1
976,8,8,8,1
977,8,8,8,1
978,19,19,19,0
979,19,19,19,1
980,8,8,8,1
981,19,19,19,1
982,19,19,19,1
983,8,8,8,1
984,8,8,8,1
985,12,14,14,0
986,7,7,7,1
987,5,5,5,1
988,5,5,5,1
989,5,5,5,1
990,4,4,4,1
991,4,4,4,1
992,15,15,15,1
993,10,10,10,1
994,2,2,2,1
995,2,2,2,1
996,8,8,8,1
997,8,8,8,1
998,8,8,8,1
999,8,8,8,1
1000,8,8,8,1
1001,8,8,8,1
1002,8,8,8,1
1003,8,8,8,1
1004,8,8,8,1
1005,8,8,8,1
1006,8,8,8,1
1007,8,8,8,1
1008,8,8,8,1
1009,8,8,8,1
1010,8,8,8,1
1011,8,8,8,1
1012,8,8,8,1
1013,8,8,8,1
1014,8,8,8,1
1015,8,8,8,1
1016,8,8,13,1
1017,8,8,8,1
1018,3,3,3,1
1019,3,3,3,1
1020,13,13,13,1
1021,13,13,13,1
1022,13,13,13,1
1023,3,3,3,1
1024,14,14,14,1
1025,2,2,2,1
1026,6,6,6,1
1027,6,6,6,1
1028,6,6,6,1
1029,6,6,6,1
1030,3,3,3,1
1031,3,3,3,1
1032,3,3,3,1
1033,11,11,11,1
1034,11,11,11,1
1035,11,11,11,1
1036,9,14,14,0
1037,14,14,14,1
1038,9,9,9,1
1039,9,9,9,1
1040,9,9,9,1
1041,9,9,9,1
1042,14,14,14,1
1043,2,2,2,1
1044,7,7,7,1
1045,7,7,7,1
1046,3,3,3,1
1047,3,3,3,1
1048,3,3,3,1
1049,3,3,3,1
1050,2,2,2,1
1051,9,9,9,1
1052,9,9,9,1
1053,9,9,9,1
1054,9,9,9,1
1055,3,3,3,1
1056,14,14,14,1
1057,14,14,14,1
1058,14,14,14,1
1059,14,14,14,1
1060,14,14,14,1
1061,2,2,2,1
1062,9,9,9,1
1063,9,14,14,0
1064,9,9,9,1
1065,9,9,9,1
1066,9,9,9,1
1067,9,9,9,1
1068,9,9,9,1
1069,9,9,9,1
1070,3,3,3,1
1071,14,14,14,1
1072,14,14,14,1
1073,14,14,14,1
1074,14,14,14,1
1075,14,14,14,1
1076,14,14,14,1
1077,8,8,8,1
1078,13,13,13,1
1079,2,2,2,1
1080,2,2,2,1
1081,2,2,2,1
1082,2,2,11,1
1083,2,2,2,1
1084,11,11,11,1
1085,11,11,11,1
1086,11,11,11,1
1087,11,11,11,1
1088,3,3,3,1
1089,3,3,3,1
1090,3,3,3,1
1091,16,16,16,1
1092,8,8,8,1
1093,16,16,16,1
1094,2,2,2,1
1095,8,8,8,1
1096,8,8,8,1
1097,2,2,3,1
1098,10,10,10,1
1099,10,10,10,1
1100,10,10,10,1
1101,10,10,10,1
1102,10,10,10,1
1103,10,10,10,1
1104,15,15,15,1
1105,6,6,6,1
1106,6,6,6,1
1107,6,11,11,0
1108,10,10,10,1
1109,10,10,10,1
1110,10,10,10,1
1111,10,10,10,1
1112,10,10,10,1
1113,10,10,10,1
1114,10,10,10,1
1115,10,10,10,1
1116,10,10,10,1
1117,10,10,10,1
1118,3,3,3,1
1119,3,3,3,1
1120,3,3,3,1
1121,3,3,3,1
1122,3,3,3,1
1123,3,3,3,1
1124,3,3,3,1
1125,15,15,15,1
1126,15,15,15,1
1127,15,15,15,1
1128,15,15,15,1
1129,15,15,15,1
1130,15,15,15,1
1131,15,15,15,1
1132,15,15,15,1
1133,15,15,15,1
1134,15,15,15,1
1135,15,15,15,1
1136,15,15,15,1
1137,15,15,15,1
1138,15,15,15,1
1139,15,15,15,1
1140,15,10,10,0
1141,9,9,9,1
1142,9,9,9,1
1143,14,14,14,1
1144,2,2,2,1
1145,2,2,2,1
1146,2,2,2,1
1147,2,2,2,1
1148,2,2,2,1
1149,2,2,2,1
1150,9,9,9,1
1151,9,9,9,1
1152,9,9,9,1
1153,9,9,9,1
1154,9,9,9,1
1155,9,9,9,1
1156,9,9,9,1
1157,9,9,9,1
1158,9,9,9,1
1159,9,9,9,1
1160,9,9,9,1
1161,9,9,9,1
1162,9,9,9,1
1163,9,9,9,1
1164,9,9,9,1
1165,9,9,9,1
1166,9,9,9,1
1167,9,9,9,1
1168,3,3,3,1
1169,3,3,3,1
1170,3,3,3,1
1171,3,3,3,1
1172,14,13,13,0
1173,14,14,14,1
1174,14,14,14,1
1175,14,14,14,1
1176,14,14,14,1
1177,14,14,14,1
1178,14,14,14,1
1179,14,14,14,1
1180,2,2,2,1
1181,8,8,8,1
1182,8,8,8,1
1183,8,8,8,1
1184,13,13,13,1
1185,9,9,9,1
1186,9,9,9,1
1187,14,14,14,1
1188,8,8,8,1
1189,2,2,2,1
1190,2,2,2,1
1191,8,8,8,1
1192,8,8,8,1
1193,8,8,8,1
1194,8,8,8,1
1195,3,3,3,1
1196,3,3,3,1
1197,3,3,3,1
1198,3,3,3,1
1199,13,13,13,1
1200,13,13,13,1
1201,13,3,13,0
1202,9,9,9,1
1203,3,3,3,1
1204,14,14,14,1
1205,14,14,14,1
1206,7,7,6,1
1207,15,15,16,1
1208,3,3,3,1
1209,10,10,10,1
1210,10,10,10,1
1211,10,10,10,1
1212,10,10,10,1
1213,10,10,10,1
1214,3,3,3,1
1215,15,15,15,1
1216,15,15,15,1
1217,15,15,15,1
1218,10,10,10,1
1219,10,10,10,1
1220,10,10,10,1
1221,3,3,3,1
1222,3,3,3,1
1223,3,3,3,1
1224,3,3,3,1
1225,3,3,3,1
1226,15,15,15,1
1227,15,15,15,1
1228,15,15,15,1
1229,15,15,15,1
1230,15,15,15,1
1231,15,15,15,1
1232,15,15,15,1
1233,15,15,15,1
1234,15,15,15,1
1235,15,15,15,1
1236,15,15,15,1
1237,15,15,15,1
1238,15,15,15,1
1239,15,15,15,1
1240,15,15,15,1
1241,15,15,15,1
1242,15,15,15,1
1243,15,15,15,1
1244,15,15,15,1
1245,2,2,2,1
1246,2,2,2,1
1247,2,2,2,1
1248,6,6,6,1
1249,6,6,6,1
1250,6,6,6,1
1251,6,6,11,1
1252,6,6,6,1
1253,6,6,6,1
1254,3,3,3,1
1255,11,11,11,1
1256,2,2,2,1
1257,2,2,2,1
1258,2,2,2,1
1259,8,8,8,1
1260,8,8,8,1
1261,8,8,8,1
1262,8,8,8,1
1263,8,8,8,1
1264,8,8,8,1
1265,8,8,8,1
1266,8,8,8,1
1267,8,8,8,1
1268,8,8,8,1
1269,3,3,3,1
1270,3,3,3,1
1271,3,3,3,1
1272,3,3,3,1
1273,13,13,13,1
1274,13,13,13,1
1275,13,13,13,1
1276,8,8,8,1
1277,14,14,14,1
1278,14,14,14,1
1279,2,2,2,1
1280,10,10,10,1
1281,8,8,8,1
1282,8,8,8,1
1283,8,8,8,1
1284,8,8,8,1
1285,8,8,8,1
1286,8,8,8,1
1287,8,8,8,1
1288,3,3,3,1
1289,13,13,13,1
1290,13,13,13,1
1291,11,11,11,1
1292,11,11,11,1
1293,24,18,21,0
1294,15,16,16,0
1295,21,21,21,0
1296,21,21,21,0
1297,21,21,21,1
1298,21,21,21,1
1299,23,23,23,1
1300,8,8,8,1
1301,19,19,19,1
1302,23,23,23,1
1303,19,19,19,0
1304,23,23,23,1
1305,20,20,23,1
1306,16,16,16,1
1307,14,14,14,1
1308,18,18,18,0
1309,23,23,23,1
1310,7,9,8,0
1311,12,7,8,0
1312,15,15,15,1
1313,23,23,23,1
1314,17,17,18,1
1315,9,7,12,0
1316,10,10,10,1
1317,17,17,17,1
1318,22,22,23,1
1319,22,22,23,1
1320,13,13,5,0
1321,27,27,27,1
1322,9,9,9,1
1323,23,23,23,1
1324,14,5,11,0
1325,25,31,27,0
1326,12,12,12,1
1327,17,10,11,0
1328,20,20,24,1
1329,9,10,9,0
1330,13,13,13,1
1331,8,8,9,1
1332,25,25,26,1
1333,26,26,26,1
1334,8,8,8,1
1335,8,8,8,1
1336,11,5,5,0
1337,12,12,12,1
1338,9,9,9,1
1339,16,16,16,1
1340,16,16,16,1
1341,6,11,7,0
1342,12,12,12,0
1343,12,12,12,1
1344,12,12,12,1
1345,11,11,11,1
1346,19,15,17,0
1347,17,17,17,1
1348,29,29,29,1
1349,17,17,17,1
1350,10,10,10,1
1351,14,14,14,1
1352,12,12,12,1
1353,12,12,12,1
1354,12,12,12,1
1355,12,12,12,1
1356,15,2,2,0
1357,16,16,16,1
1358,8,24,27,0
