image_id,gt_text,pred_text,gt_len,pred_text_len,is_correct,pred_len_from_head
52,沪宝山货0058HUBAOSHANHUO,沪宝山货0058HUBAOSHANHUO,20,20,True,21
53,济宁JINING,济宁JINING,8,8,True,8
54,浙嘉善槽686嘉兴港,浙嘉善槽686嘉兴港,10,10,True,10
55,浙安吉货2760,浙安吉货2760,8,8,True,8
56,浙建德货00659ZHEJIANDEHUO,浙建德货05609ZHEJIANDEHUO,21,21,False,21
57,皖亳州货1166WANBOZHOUHUO,皖亳州货1166WANBOZHOUHUO,20,20,True,20
58,皖利辛货8918WANLIXINHUO,皖利辛货8918WANLIXINHUO,19,19,True,19
59,皖民生6699WANMINSHENG,皖民生6699WANMINSHENG,18,18,True,18
60,苏邮288SUYOU,邮发882,10,5,False,7
61,鲁济宁货1506LUJININGHUO,鲁济宁货1506LUJININGHUO,19,19,True,19
62,万源锦绣8WANYUANJINXIU,万源锦绣8WANYUANJINXIU,18,18,True,18
63,万集777WANJI,万集777WANJI,10,10,True,10
64,万集777WANJI,万集777WANJI,10,10,True,10
65,东海68DONGHAI,东海68DONGHAI,11,11,True,11
66,中俊1号ZHONGJUNHAO,中俊1号ZHONGJUNHAO,15,15,True,15
67,中港货6308ZHONGGANGHUO,中港货6308ZHONGGANGHUO,19,19,True,19
68,中港货9928ZHONGGANGHUO,中港货9928ZHONGGANGHUO,19,19,True,19
69,中港货88866ZHONGGANGHUO,中港货88866ZHONGGANGHUO,20,20,True,21
70,乾程359QIANCHENG,乾程359QIANCHENG,14,14,True,13
71,交航66JIAOHANG,交航66JIAOHANG,12,12,True,12
72,交航518JIAOHANG,交航518JIAOHANG,13,13,True,13
73,交航1566JIAOHANG,交航1566JIAOHANG,14,14,True,14
74,亨扬货888HENGYANGHUO,亨扬货888HENGYANGHUO,17,17,True,17
75,健康1314JIANKANG,健康1314JIANKANG,14,14,True,14
76,光好1788GUANGHAO,光好1788GUANGHAO,14,14,True,14
77,光好1788GUANGHAO,光好1788GUANGHAO,14,14,True,14
78,兴安太6858XINGANTAI,兴安太6858XINGANTAI,16,16,True,16
79,兴林机10888XINGLINJI,兴林机10888XINGLINJI,17,17,True,17
80,兴沈机0836XINGSHENJI,兴沈机0836XINGSHENJI,17,17,True,17
81,兴良机002XINGLIANGJI,兴良机002XINGLIANGJI,17,17,True,17
82,兴良机1752XINGLIANGJI,兴良机1752XINGLIANGJI,18,18,True,18
83,兴隆机518XINGLONGJI,兴隆机518XINGLONGJI,16,16,True,16
84,凯通008,凯通008,5,5,True,5
85,凯通008,凯通008,5,5,True,5
86,凯通008,凯通008,5,5,True,5
87,创业2899CHUANGYE,创业2899CHUANGYE,14,14,True,14
88,创源机8608CHUANGYUANJI,创源机8608CHUANGYUANJI,19,19,True,19
89,利丰698LIFENG,利丰698LIFENG,11,11,True,11
90,利君6666LIJUN,利君6666LIJUN,11,11,True,13
91,华业货899HUAYEHUO,华业货899HUAYEHUO,14,14,True,16
92,华发568HUAFA,华发568HUAFA,10,10,True,10
93,华泰0688HUATAI,华泰0688HUATAI,12,12,True,12
94,华泰5822,华泰5822,6,6,True,6
95,华联货188HUALIANHUO,华联货188HUALIANHUO,16,16,True,16
96,华鑫58HUAXIN,华鑫58HUAXIN,10,10,True,10
97,华鑫58亳州HUAXINBOZHOU,华鑫58亳州HUAXINBOZHOU,18,18,True,20
98,华鑫58亳州HUAXINBOZHOU,华鑫588亳州HUAXINBOZHOU,18,19,False,20
99,华青9688HUAQING,华青9688HUAQING,13,13,True,13
100,发顺8868FASHUN,发顺8868FASHUN,12,12,True,12
101,合肥武运0686HEFEIWUYUN,合肥武运0686HEFEIWUYUN,18,18,True,18
102,合肥武运828HEFEIWUYUN,合肥武运828HEFEIWUYUN,17,17,True,17
103,合肥武运1618合肥港HEFEIWUYUNHEFEIGANG,合肥武运1618合肥港HEFEIWUYUNHEFEIGANG,30,30,True,30
104,吉诚贸通009JICHENGMAOTONG,吉诚贸通009JICHENGMAOTONG,21,21,True,21
105,吉诚贸通009JICHENGMAOTONG,吉诚贸通009JICHENGMAOTONG,21,21,True,21
106,和谐1866淮南港,和谐1866淮南港,9,9,True,9
107,和顺866HESHUN,和顺866HESHUN,11,11,True,12
108,咏乐6688YONGLE,咏乐6688YONGLE,12,12,True,12
109,嘉海航运026JIAHAIHANGYUN,嘉海航运026JIAHAIHANGYUN,20,20,True,20
110,嘉集016JIAJI,嘉集016JIAJI,10,10,True,9
111,嘉集303JIAJI,嘉集303JIAJI,10,10,True,10
112,四航机9898SIHANGJI,四航机9898SIHANGJI,15,15,True,15
113,四航货0268SIHANGHUO,四航货0268SIHANGHUO,16,16,True,16
114,国强1188GUOQIANG,国强1188GUOQIANG,14,14,True,14
115,多才8888DUOCAI,多才8888DUOCAI,12,12,True,12
116,天启集08TIANQIJI,天启集08TIANQIJI,13,13,True,13
117,姜苏机568JIANGSUJI,姜苏机568JIANGSUJI,15,15,True,15
118,宁天元18号南京,宁天元18号南京,8,8,True,8
119,宇远969YUYUAN,宇远969YUYUAN,11,11,True,11
120,安航机8858ANHANGJI,安航机8858ANHANGJI,15,15,True,15
121,宏源机20HONGYUANJI,宏源机20HONGYUANJI,15,15,True,15
122,宝西湖机1898BAOXIHUJI,宝西湖机1898BAOXIHUJI,17,17,True,17
123,家祥58JIAXIANG,家祥58JIAXIANG,12,12,True,12
124,富华集运03FUHUAJIYUN,富华集运03FUHUAJIYUN,16,16,True,16
125,富华集运06FUHUAJIYUN,富华集运06FUHUAJIYUN,16,16,True,16
126,富华集运06FUHUAJIYUN,富华集运06FUHUAJIYUN,16,16,True,16
127,富华集运06FUHUAJIYUN,富华集运06FUHUAJIYUN,16,16,True,16
128,富华集运09FUHUAJIYUN,富华集运09FUHUAJIYUN,16,16,True,16
129,富华集送05FUHUAJISONG,富华集送05FUHUAJISONG,17,17,True,17
130,富阳007FUYANG,富阳007FUYANG,11,11,True,12
131,常州机918CHANGZHOUJI,常州机918CHANGZHOUJI,17,17,True,17
132,弘泰航运527,弘泰航运527,7,7,True,7
133,弘泰航运527HONGTAIHANGYUN,弘泰航运527HONGTAIHANGYUN,21,21,True,22
134,徐货9176XUHUO,徐货9176XUHUO,11,11,True,11
135,徐货9313XUHUO,徐货9313XUHUO,11,11,True,11
136,徐货9313XUHUO,徐货9313XUHUO,11,11,True,11
137,徐运99999XUYUN,徐运99999XUYUN,12,12,True,12
138,志远658,志远658,5,5,True,5
139,志远658ZHIYUAN,志远658ZHIYUAN,12,12,True,11
140,思屹阳888SIYIYANG,思屹阳888SIYIYANG,14,14,True,14
141,恒润888888HENGRUN,恒润888888HENGRUN,15,15,True,14
142,恒顺6669HENGSHUN,恒顺6669HENGSHUN,14,14,True,14
143,成通货9888CHENGTONGHUO,成通货9888CHENGTONGHUO,19,19,True,19
144,振华13ZHENHUA,振华13ZHENHUA,11,11,True,11
145,振华13ZHENHUA,振华13ZHENHUA,11,11,True,11
146,振华13ZHENHUA,振华13ZHENHUA,11,11,True,11
147,振陵机8288ZHENLINGJI,振陵机8288ZHENLINGJI,17,17,True,17
148,振鸿918ZHENHONG,振鸿918ZHENHONG,13,13,True,13
149,新宇胜利XINYUSHENGLI,新宇胜利XINYUSHENGLI,16,16,True,16
150,新宜99999XINYI,新宜99999XINYI,12,12,True,12
151,新庄油98XINZHUANGYOU,新庄油98XINZHUANGYOU,17,17,True,13
152,新康海888XINKANGHAI,新康海888XINKANGHAI,16,16,True,16
153,新康海888XINKANGHAI,新康海888XINKANGHAI,16,16,True,16
154,新康海888XINKANGHAI,新康海888XINKANGHAI,16,16,True,16
155,新康海888XINKANGHAI,新康海888XINKANGHAI,16,16,True,16
156,新正58XINZHENG,新正58XINZHENG,12,12,True,12
157,旭欣168XUXIN,旭欣168XUXIN,10,10,True,10
158,明阳5678MINGYANG,明阳5678MINGYANG,14,14,True,14
159,明阳6863MINGYAN,明阳6863MINGYAN,13,13,True,13
160,晟运686CHENGYUN,晟运686CHENGYUN,13,13,True,13
161,晶超1819JINGCHAO,晶超1819JINGCHAO,14,14,True,12
162,桥机66668QIAOJI,桥机66668QIAOJI,13,13,True,13
163,梧桐集008WUTONGJI,梧桐集008WUTONGJI,14,14,True,14
164,梧桐集999WUTONGJI,梧桐集999WUTONGJI,14,14,True,14
165,正通机4458ZHENGTONGJI,正通机4458ZHENGTONGJI,18,18,True,18
166,水运机1058SHUIYUNJI,水运机1058SHUIYUNJI,16,16,True,16
167,永安0089阜阳港,永安0089阜阳港,9,9,True,11
168,永强268YONGQIANG,永强268YONGQIANG,14,14,True,14
169,汇凯66HUIKAI,汇凯66HUIKAI,10,10,True,10
170,汇海集006HUIHAIJI,汇海集006HUIHAIJI,14,14,True,14
171,江泰油018JIANGTAIYOU,江泰油018JIANGTAIYOU,17,17,True,17
172,江泰轮工8JIANGTAILUNGONG,江泰轮工8JIANGTAILUNGONG,20,20,True,20
173,江海货68JIANGHAIHUO,江海货68JIANGHAIHUO,16,16,True,16
174,江淮货398JIANGHUAIHUO,江淮货398JIANGHUAIHUO,18,18,True,18
175,江淮货398JIANGHUAIHUO,江淮货398JIANGHUAIHUO,18,18,True,18
176,沪宝山货0058HUBAOSHANHUO,沪宝山货0058HUBAOSHANHUO,20,20,True,20
177,沪宝山货318上海港,沪宝山货318上海港,10,10,True,10
178,泰东1688TAIDONG,泰东1688TAIDONG,13,13,True,13
179,泰东货1588TAIDONGHUO,泰东货1588TAIDONGHUO,17,17,True,17
180,泰顺888TAISHUN,泰顺888TAISHUN,12,12,True,12
181,泰顺888TAISHUN,泰顺888TAISHUN,12,12,True,12
182,泰顺机2609泰州港,泰顺机2609泰州港,10,10,True,10
183,洲城机3188ZHOUCHENGJI,洲城机3188ZHOUCHENGJI,18,18,True,17
184,浙上虞货0566ZHESHANGYUHUO,浙上虞货0566ZHESHANGYUHUO,21,21,True,21
185,浙上虞货0566绍兴港,浙上虞货0566绍兴港,11,11,True,11
186,浙九漕集016ZHEJIUCAOJI,浙九漕集016ZHEJIUCAOJI,18,18,True,18
187,浙九漕集016ZHEJIUCAOJI,浙九漕集016ZHEJIUCAOJI,18,18,True,18
188,浙余杭货00401杭州港,浙余杭货00401杭州港,12,12,True,12
189,浙余杭货00480ZHEYUHANGHUO,浙余杭货00480ZHEYUHANGHUO,21,21,True,21
190,浙余杭货01317杭州港,浙余杭货01317杭州港,12,12,True,12
191,浙余杭货01777ZHEYUHANGHUO,浙余杭货01777ZHEYUHANGHUO,21,21,True,21
192,浙余杭货01827ZHEYUHANGHUO,浙余杭货01827ZHEYUHANGHUO,21,21,True,21
193,浙余杭货02228ZHEYUHANGHUO,浙余杭货02228ZHEYUHANGHUO,21,21,True,21
194,浙余杭货02869ZHEYUHANGHUO,浙余杭货02869ZHEYUHANGHUO,21,21,True,21
195,浙余杭货02916ZHEYUHANGHUO,浙余杭货02916ZHEYUHANGHUO,21,21,True,21
196,浙余杭货02989ZHEYUHANGHUO,浙余杭货02989ZHEYUHANGHUO,21,21,True,21
197,浙嘉兴货01591ZHEJIAXINGHUO,浙嘉兴货01591ZHEJIAXINGHUO,22,22,True,22
198,浙嘉兴货02976嘉兴港,浙嘉兴货02976嘉兴港,12,12,True,12
199,浙嘉兴货03291ZHEJIAXINGHUO,浙嘉兴货03291ZHEJIAXINGHUO,22,22,True,22
200,浙嘉善槽268ZHEJIASHANCAO,浙嘉善槽268ZHEJIASHANCAO,20,20,True,20
201,浙嘉善货02566ZHEJIASHANHUO,浙嘉善货02566ZHEJIASHANHUO,22,22,True,22
202,浙嘉善货03898ZHEJIASHANHUO,浙嘉善货03898ZHEJIASHANHUO,22,22,True,22
203,浙安吉货1591ZHEANJIHUO,浙安吉货1591ZHEANJIHUO,18,18,True,18
204,浙安吉货2787,浙安吉货2787,8,8,True,8
205,浙富阳货00781ZHEFUYANGHUO,浙富阳货00781ZHEFUYANGHUO,21,21,True,21
206,浙富阳货00818ZHEFUYANGHUO,浙富阳货00818ZHEFUYANGHUO,21,21,True,21
207,浙富阳货00828ZHEFUYANGHUO,浙富阳货00828ZHEFUYANGHUO,21,21,True,21
208,浙富阳货00850ZHEFUYANGHUO,浙富阳货00850ZHEFUYANGHUO,21,21,True,21
209,浙富阳货00979ZHEFUYANGHUO,浙富阳货00979ZHEFUYANGHUO,21,21,True,21
210,浙富阳货00985ZHEFUYANGHUO,浙富阳货00985ZHEFUYANGHUO,21,21,True,21
211,浙富阳货00992ZHEFUYANGHUO,浙富阳货00992ZHEFUYANGHUO,21,21,True,21
212,浙富阳货01099ZHEFUYANGHUO,浙富阳货01099ZHEFUYANGHUO,21,21,True,21
213,浙富阳货01099ZHEFUYANGHUO,浙富阳货01099ZHEFUYANGHUO,21,21,True,21
214,浙平湖货01939ZHEPINGHUHUO,浙平湖货01939ZHEPINGHUHUO,21,21,True,21
215,浙平湖货02127ZHEPINGHUHUO,浙平湖货02127ZHEPINGHUHUO,21,21,True,21
216,浙平湖货02206嘉兴港,浙平湖货02206嘉兴港,12,12,True,12
217,浙平湖货02395ZHEPINGHUHUO,浙平湖货02395ZHEPINGHUHUO,21,21,True,21
218,浙康达001嘉兴ZHEKANGDA,浙康达001嘉兴ZHEKANGDA,17,17,True,17
219,浙建德货00888ZHEJIANDEHUO,浙建德货00888ZHEJIANDEHUO,21,21,True,21
220,浙桐乡槽00500ZHETONGXIANGCAO,浙桐乡槽00500ZHETONGXIANGCAO,24,24,True,24
221,浙海盐货02320ZHEHAIYANHUO,浙海盐货02320ZHEHAIYANHUO,21,21,True,21
222,浙海盐货02889ZHEHAIYANHUO,浙海盐货02889ZHEHAIYANHUO,21,21,True,21
223,浙湖州货2768ZHEHUZHOUHUO,浙湖州货2768ZHEHUZHOUHUO,20,20,True,20
224,浙绍兴货0575绍兴港,浙绍兴货0575绍兴港,11,11,True,11
225,浙绍兴货0788ZHESHAOXINGHUO,浙绍兴货0788ZHESHAOXINGHUO,22,22,True,22
226,浙绍运6-21ZHESHAOYUN,浙绍运6-21ZHESHAOYUN,17,17,True,17
227,浙绍运0555ZHESHAOYUN,浙绍运0555ZHESHAOYUN,17,17,True,17
228,浙绍银运006ZHESHAOYINYUN,浙绍银运006ZHESHAOYINYUN,20,20,True,20
229,浙萧山货03150,浙萧山货03150,9,9,True,9
230,浙萧山货03173,浙萧山货03173,9,9,True,9
231,浙萧山货03180,浙萧山货03180,9,9,True,9
232,浙萧山货23651ZHEXIAOSHANHUO,浙萧山货23651ZHEXIAOSHANHUO,23,23,True,23
233,浙萧山货23778杭州港,浙萧山货23778杭州港,12,12,True,12
234,浙萧山货23782杭州港,浙萧山货23782杭州港,12,12,True,12
235,浙萧山集019ZHEXIAOSHANJI,浙萧山集019ZHEXIAOSHANJI,20,20,True,20
236,浙衢州货00009ZHEQUZHOUHUO,浙衢州货00009ZHEQUZHOUHUO,21,21,True,21
237,浙诸暨货0108ZHEZHUJIHUO,浙诸暨货0108ZHEZHUJIHUO,19,19,True,19
238,浙诸暨货0173,浙诸暨货0173,8,8,True,8
239,浙诸暨货0208,浙诸暨货0208,8,8,True,8
240,浙诸暨货0769,浙诸暨货0769,8,8,True,8
241,浙诸暨货0769,浙诸暨货0769,8,8,True,8
242,浙诸暨货0780ZHEZHUJIHUO,浙诸暨货0780ZHEZHUJIHUO,19,19,True,19
243,浙诸暨货0780ZHEZHUJIHUO,浙诸暨货0780ZHEZHUJIHUO,19,19,True,19
244,浙诸暨货0881,浙诸暨货0881,8,8,True,8
245,浙诸暨货0881ZHEZHUJIHUO,浙诸暨货0881ZHEZHUJIHUO,19,19,True,19
246,浙诸暨货0967ZHEZHUJIHUO,浙诸暨货0967ZHEZHUJIHUO,19,19,True,19
247,浙诸暨货0989ZHEZHUJIHUO,浙诸暨货0989ZHEZHUJIHUO,19,19,True,19
248,浙诸暨货1056,浙诸暨货1056,8,8,True,8
249,浙诸暨货1056,浙诸暨货1056,8,8,True,8
250,浙诸暨货1057ZHEZHUJIHUO,浙诸暨货1057ZHEZHUJIHUO,19,19,True,19
251,浙诸暨货1078ZHEZHUJIHUO,浙诸暨货1078ZHEZHUJIHUO,19,19,True,19
252,浙诸暨货1177,浙诸暨货1177,8,8,True,8
253,浙诸暨货1177,浙诸暨货1177,8,8,True,8
254,浙诸暨货1177,浙诸暨货1177,8,8,True,8
255,浙诸暨货1218,浙诸暨货1218,8,8,True,8
256,浙诸暨货1283ZHEZHUJIHUO,浙诸暨货1283ZHEZHUJIHUO,19,19,True,19
257,浙越城货0566ZHEYUECHENGHUO,浙越城货0566ZHEYUECHENGHUO,22,22,True,22
258,浙钱江货00302ZHEQIANJIANGHUO,浙钱江货00302ZHEQIANJIANGHUO,24,24,True,24
259,浙钱江货00311杭州港,浙钱江货00311杭州港,12,12,True,12
260,浙钱江货00320ZHEQIANJIANGHUO,浙钱江货00320ZHEQIANJIANGHUO,24,24,True,24
261,浙钱江货00348ZHEQIANJIANGHUO,浙钱江货00348ZHEQIANJIANGHUO,24,24,True,24
262,浙钱江货00398ZHEQIANJIANGHUO,浙钱江货00398ZHEQIANJIANGHUO,24,24,True,24
263,浙钱江货00505ZHEQIANJIANGHUO,浙钱江货00505ZHEQIANJIANGHUO,24,24,True,24
264,浙钱江货00527ZHEQIANJIANGHUO,浙钱江货00527ZHEQIANJIANGHUO,24,24,True,24
265,浙钱江货35057ZHEQIANJIANGHUO,浙钱江货35057ZHEQIANJIANGHUO,24,24,True,24
266,浙长兴货6876湖州港,浙长兴货6876湖州港,11,11,True,11
267,海源138HAIYUAN,海源138HAIYUAN,12,12,True,12
268,润佳货001RUNJIAHUO,润佳货001RUNJIAHUO,15,15,True,17
269,润泽777RUNZE,润泽777RUNZE,10,10,True,5
270,湘张家界货1002XIANGZHANGJIAJIEHUO,湘张家界货1002XIANGZHANGJIAJIEHUO,28,28,True,28
271,溧新215LIXIN,溧新215LIXIN,10,10,True,10
272,溧新969LIXIN,溧新969LIXIN,10,10,True,10
273,溧新5666LIXIN,溧新5666LIXIN,11,11,True,13
274,溧新5666LIXIN,溧新5666LIXIN,11,11,True,13
275,溧新7777LIXIN,溧新7777LIXIN,11,11,True,11
276,王煜668WANGYU,王煜668WANGYU,11,11,True,11
277,皖中发668六安港,皖中发668六安港,9,9,True,9
278,皖中海9166WANZHONGHAI,皖中海9166WANZHONGHAI,18,18,True,18
279,皖临泉货0112WANLINQUANHUO,皖临泉货0112WANLINQUANHUO,21,21,True,21
280,皖五河货2159蚌埠港,皖五河货2159蚌埠港,11,11,True,11
281,皖亳州货0897WANBOZHOUHUO,皖亳州货0897WANBOZHOUHUO,20,20,True,20
282,皖亳州货1799WANBOZHOUHUO,皖亳州货1799WANBOZHOUHUO,20,20,True,20
283,皖亳州货6999WANBOZHOUHUO,皖亳州货6999WANBOZHOUHUO,20,20,True,20
284,皖创业1289WANCHUANGYE,皖创业1289WANCHUANGYE,18,18,True,18
285,皖创业2806WANCHUANGYE,皖创业2806WANCHUANGYE,18,18,True,18
286,皖利辛货2188亳州,皖利辛货2188亳州,10,10,True,10
287,皖合肥货3236WANHEFEIHUO,皖合肥货3236WANHEFEIHUO,19,19,True,19
288,皖和谐5218WANHEXIE,皖和谐5218WANHEXIE,15,15,True,15
289,皖城关货888WANCHENGGUANHUO,皖城关货888WANCHENGGUANHUO,22,22,True,22
290,皖天长货0011滁州港,皖天长货0011滁州港,11,11,True,11
291,皖太运0209WANTAIYUN,皖太运0209WANTAIYUN,16,16,True,16
292,皖太运362WANTAIYUN,皖太运362WANTAIYUN,15,15,True,15
293,皖宇翔999WANYUXIANG,皖宇翔999WANYUXIANG,16,16,True,16
294,皖宇航118WANYUHANG,皖宇航118WANYUHANG,15,15,True,15
295,皖宇远998WANYUYUAN,皖宇远998WANYUYUAN,15,15,True,15
296,皖宏信73WANHONGXIN,皖宏信73WANHONGXIN,15,15,True,15
297,皖宜货1088WANYIHUO,皖宜货1088WANYIHUO,15,15,True,15
298,皖宝航5668WANBAOHANG,皖宝航5668WANBAOHANG,17,17,True,17
299,皖宣城货9898,皖宣城货9898,8,8,True,8
300,皖宿州货2789宿州港,皖宿州货2789宿州港,11,11,True,11
301,皖宿州货2922宿州港,皖宿州货2922宿州港,11,11,True,11
302,皖寿县货8966,皖寿县货8966,8,8,True,8
303,皖寿州828WANSHOUZHOU,皖寿州828WANSHOUZHOU,17,17,True,17
304,皖平安888WANPINGAN,皖平安888WANPINGAN,15,15,True,15
305,皖平安888WANPINGAN,皖平安888WANPINGAN,15,15,True,15
306,皖恒达6688WANHENGDA,皖恒达6688WANHENGDA,16,16,True,16
307,皖恒达6688WANHENGDA,皖恒达6688WANHENGDA,16,16,True,16
308,皖振兴298WANZHENXING,皖振兴298WANZHENXING,17,17,True,17
309,皖来安货1619WANLAIANHUO,皖来安货1619WANLAIANHUO,19,19,True,19
310,皖来安货1619WANLAIANHUO,皖来安货1619WANLAIANHUO,19,19,True,19
311,皖来安货1619WANLAIANHUO,皖来安货1619WANLAIANHUO,19,19,True,19
312,皖永安1816WANYONGAN,皖永安1816WANYONGAN,16,16,True,16
313,皖浍河9WANHUIHE,皖浍河9WANHUIHE,12,12,True,12
314,皖涡阳货0518WANGUOYANGHUO,皖涡阳货0518WANGUOYANGHUO,21,21,True,21
315,皖淮北货0806淮北港,皖淮北货0806淮北港,11,11,True,11
316,皖淮南货1256WANHUAINANHUO,皖淮南货1256WANHUAINANHUO,21,21,True,21
317,皖耀达9188WANYAODA,皖耀达9188WANYAODA,15,15,True,15
318,皖联顺628WANLIANSHUN,皖联顺628WANLIANSHUN,17,17,True,17
319,皖航运6899WANHANGYUN,皖航运6899WANHANGYUN,17,17,True,17
320,皖诚兴货688WANCHENGXINGHUO,皖诚兴货688WANCHENGXINGHUO,22,22,True,22
321,皖通源0058WANTONGYUAN,皖通源0058WANTONGYUAN,18,18,True,18
322,皖郎溪货0808WANLANGXIHUO,皖郎溪货0808WANLANGXIHUO,20,20,True,20
323,皖郎溪货1262WANLANGXIHUO,皖郎溪货1262WANLANGXIHUO,20,20,True,20
324,皖金旺999WANJINWANG,皖金旺999WANJINWANG,16,16,True,16
325,皖金舵508WANJINDUO,皖金舵508WANJINDUO,15,15,True,15
326,皖铜陵货7699WANTONGLINGHUO,皖铜陵货7699WANTONGLINGHUO,22,22,True,22
327,皖长盛888WANCHANGSHENG,皖长盛888WANCHANGSHENG,19,19,True,19
328,皖霍山货0518六安港,皖霍山货0518六安港,11,11,True,11
329,皖霍邱7666WANHUOQIU,皖霍邱7666WANHUOQIU,16,16,True,17
330,皖顺水188WANSHUNSHUI,皖顺水188WANSHUNSHUI,17,17,True,17
331,皖鸿盛699WANHONGSHENG,皖鸿盛699WANHONGSHENG,18,18,True,18
332,皖鸿顺7889WANHONGSHUN,皖鸿顺7889WANHONGSHUN,18,18,True,18
333,盛祥999SHENGXIANG,盛祥999SHENGXIANG,15,15,True,15
334,祥发999XIANGFA,祥发999XIANGFA,12,12,True,12
335,翔运989XIANGYUN,翔运989XIANGYUN,13,13,True,13
336,翔运1996XIANGYUN,翔运1996XIANGYUN,14,14,True,14
337,翔通16XIANGTONG,翔通16XIANGTONG,13,13,True,13
338,翔通5988XIANGTONG,翔通5988XIANGTONG,15,15,True,15
339,翔通8899XIANGTONG,翔通8899XIANGTONG,15,15,True,15
340,腾联集005TENGLIANJI,腾联集005TENGLIANJI,16,16,True,16
341,腾联集008TENGLIANJI,腾联集008TENGLIANJI,16,16,True,16
342,腾运002TENGYUN,腾运002TENGYUN,12,12,True,12
343,腾运016TENGYUN,腾运016TENGYUN,12,12,True,12
